state,category,number,date
hawaii,Hotels and Other Lodgings,0,2022-06-05
hawaii,Healthcare,0,2022-06-05
hawaii,Senior Facilities/Communities,15,2022-06-05
hawaii,Disability/AFN Organizations,0,2022-06-05
hawaii,Non-Profit Organizations,0,2022-06-05
hawaii,Neighborhood Groups,0,2022-06-05
hawaii,Preparedness Organizations,0,2022-06-05
hawaii,Faith-based Organizations,0,2022-06-05
hawaii,"Museums, Libraries, Parks, etc.",0,2022-06-05
hawaii,Animal Shelter/Service Providers,0,2022-06-05
hawaii,Agriculture/Livestock Sector,0,2022-06-05
hawaii,Volunteer Radio Groups,0,2022-06-05
hawaii,Science/Engineering Organizations,0,2022-06-05
hawaii,Media Organizations,0,2022-06-05
hawaii,Other,0,2022-06-05
idaho,"<tr><td align=""left""><a href=""https://www.shakeout.org/idaho/participant_list.php?start=idaho&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">4</td></tr>",4,2022-06-05
idaho,Childcare and Pre-Schools,0,2022-06-05
idaho,K-12 Schools and Districts,0,2022-06-05
idaho,Colleges and Universities,0,2022-06-05
idaho,Local Government,2,2022-06-05
idaho,State Government,0,2022-06-05
idaho,Federal/National Government (Including Military),0,2022-06-05
idaho,Tribes/Indigenous Peoples,0,2022-06-05
idaho,Businesses,0,2022-06-05
idaho,Hotels and Other Lodgings,0,2022-06-05
idaho,Healthcare,170,2022-06-05
idaho,Senior Facilities/Communities,0,2022-06-05
idaho,Disability/AFN Organizations,0,2022-06-05
idaho,Non-Profit Organizations,0,2022-06-05
idaho,Neighborhood Groups,0,2022-06-05
idaho,Preparedness Organizations,0,2022-06-05
idaho,Faith-based Organizations,0,2022-06-05
idaho,"Museums, Libraries, Parks, etc.",0,2022-06-05
idaho,Animal Shelter/Service Providers,0,2022-06-05
idaho,Agriculture/Livestock Sector,0,2022-06-05
idaho,Volunteer Radio Groups,0,2022-06-05
idaho,Science/Engineering Organizations,0,2022-06-05
idaho,Media Organizations,0,2022-06-05
idaho,Other,0,2022-06-05
montana,"<tr><td align=""left""><a href=""https://www.shakeout.org/montana/participant_list.php?start=montana&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">2</td></tr>",2,2022-06-05
montana,Childcare and Pre-Schools,0,2022-06-05
montana,K-12 Schools and Districts,24,2022-06-05
montana,Colleges and Universities,0,2022-06-05
montana,Local Government,0,2022-06-05
montana,State Government,0,2022-06-05
montana,Federal/National Government (Including Military),0,2022-06-05
montana,Tribes/Indigenous Peoples,0,2022-06-05
montana,Businesses,0,2022-06-05
montana,Hotels and Other Lodgings,0,2022-06-05
montana,Healthcare,30,2022-06-05
montana,Senior Facilities/Communities,0,2022-06-05
montana,Disability/AFN Organizations,0,2022-06-05
montana,Non-Profit Organizations,0,2022-06-05
montana,Neighborhood Groups,0,2022-06-05
montana,Preparedness Organizations,0,2022-06-05
montana,Faith-based Organizations,0,2022-06-05
montana,"Museums, Libraries, Parks, etc.",0,2022-06-05
montana,Animal Shelter/Service Providers,0,2022-06-05
montana,Agriculture/Livestock Sector,0,2022-06-05
montana,Volunteer Radio Groups,0,2022-06-05
montana,Science/Engineering Organizations,0,2022-06-05
montana,Media Organizations,0,2022-06-05
montana,Other,0,2022-06-05
nevada,"<tr><td align=""left""><a href=""https://www.shakeout.org/nevada/participant_list.php?start=nevada&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">9</td></tr>",9,2022-06-05
nevada,Childcare and Pre-Schools,105,2022-06-05
nevada,K-12 Schools and Districts,938,2022-06-05
nevada,Colleges and Universities,0,2022-06-05
nevada,Local Government,0,2022-06-05
nevada,State Government,0,2022-06-05
nevada,Federal/National Government (Including Military),0,2022-06-05
nevada,Tribes/Indigenous Peoples,0,2022-06-05
nevada,Businesses,100,2022-06-05
nevada,Hotels and Other Lodgings,0,2022-06-05
nevada,Healthcare,313,2022-06-05
nevada,Senior Facilities/Communities,0,2022-06-05
nevada,Disability/AFN Organizations,10,2022-06-05
nevada,Non-Profit Organizations,4,2022-06-05
nevada,Neighborhood Groups,0,2022-06-05
nevada,Preparedness Organizations,0,2022-06-05
nevada,Faith-based Organizations,0,2022-06-05
nevada,"Museums, Libraries, Parks, etc.",0,2022-06-05
nevada,Animal Shelter/Service Providers,0,2022-06-05
nevada,Agriculture/Livestock Sector,0,2022-06-05
nevada,Volunteer Radio Groups,0,2022-06-05
nevada,Science/Engineering Organizations,10,2022-06-05
nevada,Media Organizations,0,2022-06-05
nevada,Other,0,2022-06-05
newmexico,"<tr><td align=""left""><a href=""https://www.shakeout.org/newmexico/participant_list.php?start=newmexico&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">3</td></tr>",3,2022-06-05
newmexico,Childcare and Pre-Schools,0,2022-06-05
newmexico,K-12 Schools and Districts,0,2022-06-05
newmexico,Colleges and Universities,0,2022-06-05
newmexico,Local Government,"1,500",2022-06-05
newmexico,State Government,70,2022-06-05
newmexico,Federal/National Government (Including Military),0,2022-06-05
newmexico,Tribes/Indigenous Peoples,0,2022-06-05
newmexico,Businesses,0,2022-06-05
newmexico,Hotels and Other Lodgings,0,2022-06-05
newmexico,Healthcare,20,2022-06-05
newmexico,Senior Facilities/Communities,0,2022-06-05
newmexico,Disability/AFN Organizations,0,2022-06-05
newmexico,Non-Profit Organizations,0,2022-06-05
newmexico,Neighborhood Groups,0,2022-06-05
newmexico,Preparedness Organizations,20,2022-06-05
newmexico,Faith-based Organizations,0,2022-06-05
newmexico,"Museums, Libraries, Parks, etc.",0,2022-06-05
newmexico,Animal Shelter/Service Providers,0,2022-06-05
newmexico,Agriculture/Livestock Sector,0,2022-06-05
newmexico,Volunteer Radio Groups,0,2022-06-05
newmexico,Science/Engineering Organizations,0,2022-06-05
newmexico,Media Organizations,0,2022-06-05
newmexico,Other,0,2022-06-05
northeast,"<tr><td align=""left""><a href=""https://www.shakeout.org/northeast/participant_list.php?start=northeast&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">5</td></tr>",5,2022-06-05
northeast,Childcare and Pre-Schools,0,2022-06-05
northeast,K-12 Schools and Districts,"5,235",2022-06-05
northeast,Colleges and Universities,152,2022-06-05
northeast,Local Government,0,2022-06-05
northeast,State Government,0,2022-06-05
northeast,Federal/National Government (Including Military),0,2022-06-05
northeast,Tribes/Indigenous Peoples,0,2022-06-05
northeast,Businesses,7,2022-06-05
northeast,Hotels and Other Lodgings,0,2022-06-05
northeast,Healthcare,94,2022-06-05
northeast,Senior Facilities/Communities,0,2022-06-05
northeast,Disability/AFN Organizations,0,2022-06-05
northeast,Non-Profit Organizations,0,2022-06-05
northeast,Neighborhood Groups,0,2022-06-05
northeast,Preparedness Organizations,0,2022-06-05
northeast,Faith-based Organizations,0,2022-06-05
northeast,"Museums, Libraries, Parks, etc.",0,2022-06-05
northeast,Animal Shelter/Service Providers,0,2022-06-05
