state,category,number,date
nevada,Animal Shelter/Service Providers,0,2022-06-14
nevada,Agriculture/Livestock Sector,0,2022-06-14
nevada,Volunteer Radio Groups,0,2022-06-14
nevada,Science/Engineering Organizations,10,2022-06-14
nevada,Media Organizations,0,2022-06-14
nevada,Other,0,2022-06-14
newmexico,"<tr><td align=""left""><a href=""https://www.shakeout.org/newmexico/participant_list.php?start=newmexico&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">3</td></tr>",3,2022-06-14
newmexico,Childcare and Pre-Schools,0,2022-06-14
newmexico,K-12 Schools and Districts,0,2022-06-14
newmexico,Colleges and Universities,0,2022-06-14
newmexico,Local Government,"1,500",2022-06-14
newmexico,State Government,70,2022-06-14
newmexico,Federal/National Government (Including Military),0,2022-06-14
newmexico,Tribes/Indigenous Peoples,0,2022-06-14
newmexico,Businesses,0,2022-06-14
newmexico,Hotels and Other Lodgings,0,2022-06-14
newmexico,Healthcare,20,2022-06-14
newmexico,Senior Facilities/Communities,0,2022-06-14
newmexico,Disability/AFN Organizations,0,2022-06-14
newmexico,Non-Profit Organizations,0,2022-06-14
newmexico,Neighborhood Groups,0,2022-06-14
newmexico,Preparedness Organizations,20,2022-06-14
newmexico,Faith-based Organizations,0,2022-06-14
newmexico,"Museums, Libraries, Parks, etc.",0,2022-06-14
newmexico,Animal Shelter/Service Providers,0,2022-06-14
newmexico,Agriculture/Livestock Sector,0,2022-06-14
newmexico,Volunteer Radio Groups,0,2022-06-14
newmexico,Science/Engineering Organizations,0,2022-06-14
newmexico,Media Organizations,0,2022-06-14
newmexico,Other,0,2022-06-14
northeast,"<tr><td align=""left""><a href=""https://www.shakeout.org/northeast/participant_list.php?start=northeast&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">7</td></tr>",7,2022-06-14
northeast,Childcare and Pre-Schools,0,2022-06-14
northeast,K-12 Schools and Districts,"5,235",2022-06-14
northeast,Colleges and Universities,152,2022-06-14
northeast,Local Government,0,2022-06-14
northeast,State Government,0,2022-06-14
northeast,Federal/National Government (Including Military),0,2022-06-14
northeast,Tribes/Indigenous Peoples,0,2022-06-14
northeast,Businesses,7,2022-06-14
northeast,Hotels and Other Lodgings,0,2022-06-14
northeast,Healthcare,94,2022-06-14
northeast,Senior Facilities/Communities,0,2022-06-14
northeast,Disability/AFN Organizations,0,2022-06-14
northeast,Non-Profit Organizations,0,2022-06-14
northeast,Neighborhood Groups,0,2022-06-14
northeast,Preparedness Organizations,0,2022-06-14
northeast,Faith-based Organizations,0,2022-06-14
northeast,"Museums, Libraries, Parks, etc.",0,2022-06-14
northeast,Animal Shelter/Service Providers,0,2022-06-14
northeast,Agriculture/Livestock Sector,0,2022-06-14
northeast,Volunteer Radio Groups,0,2022-06-14
northeast,Science/Engineering Organizations,0,2022-06-14
northeast,Media Organizations,0,2022-06-14
northeast,Other,0,2022-06-14
oregon,"<tr><td align=""left""><a href=""https://www.shakeout.org/oregon/participant_list.php?start=oregon&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">28</td></tr>",28,2022-06-14
oregon,Childcare and Pre-Schools,19,2022-06-14
oregon,K-12 Schools and Districts,"2,685",2022-06-14
oregon,Colleges and Universities,0,2022-06-14
oregon,Local Government,750,2022-06-14
oregon,State Government,58,2022-06-14
oregon,Federal/National Government (Including Military),36,2022-06-14
oregon,Tribes/Indigenous Peoples,0,2022-06-14
oregon,Businesses,30,2022-06-14
oregon,Hotels and Other Lodgings,0,2022-06-14
oregon,Healthcare,604,2022-06-14
oregon,Senior Facilities/Communities,50,2022-06-14
oregon,Disability/AFN Organizations,0,2022-06-14
oregon,Non-Profit Organizations,800,2022-06-14
oregon,Neighborhood Groups,0,2022-06-14
oregon,Preparedness Organizations,0,2022-06-14
oregon,Faith-based Organizations,0,2022-06-14
oregon,"Museums, Libraries, Parks, etc.",0,2022-06-14
oregon,Animal Shelter/Service Providers,0,2022-06-14
oregon,Agriculture/Livestock Sector,0,2022-06-14
